english,french
Logic bomb,Bombe logique
Logic learning machine,Apprentissage automatique basé sur la logique
Logic programming,Programmation logique
Logic programs,Programmation logique
Logic Theorist (le théoricien logique ou de la logique),Logic Theorist (le théoricien logique ou de la logique)
Logic-based machine learning,Apprentissage automatique basé sur la logique
Logical consequence,Implication logique
Logical entailment,Implication logique
Logical groupings of variables,Groupes logiques de variables
Logical implication,Implication logique
Logical predicate,Prédicat logique
Logical quantum bit,Qubit logique
Logical qubit,Qubit logique
Logistic distribution,Distribution logistique
Logistic Model Tree,Arbre de modèle logistique
Logistic regression,Régression logistique
Logit,Logit
LogitBoost,LogitBoost
Lognormal,Log-normale
Lognormal distribution,Log-normale
Lomax distribution,Distribution de Lomax
Long short term memory memory network,Réseau de neurones récurrent à longue mémoire à court terme
Long short term memory neural network,Réseau de neurones récurrent à longue mémoire à court terme
Long short-term memory,Réseau de neurones récurrent à longue mémoire à court terme
Longitudinal Study,Étude longitudinale
Longitudinal survey,Aperçu longitudinal
Loopy belief propagation,Propagation de croyance par boucle
Lorenz curve,Courbe de Lorenz
Loss,Perte
Loss function,Fonction de coût
Loss matrix,Matrice de perte
Loss optimization,Optimisation des pertes
Lotka-Volterra equations,Équations de Lotka-Volterra
Low rank matrix factorization,Factorisation en une matrice de rang inférieur
Low-rank adaptation,Adaptation par modèle auxiliaire
Low-shot learning,Apprentissage à partir de peu d’exemples
Lower confidence limit,Limite de confiance inférieure
LPBoost,LPBoost
LSTM,Réseau récurrent à longue mémoire court terme
Lévy distribution,Distribution de Lévy
M-estimator,M-estimateur
MA plot,MA plot
Mach-Zehnder interferometer,Interféromètre de Mach-Zehnder
Machina sapiens,Machine pensante
Machine learning,Apprentissage automatique
Machine learning as a service,Apprentissage automatique en tant que service
Machine learning control,Contrôle par apprentissage automatique
Machine learning engineer,Ingénieur en apprentissage automatique
Machine Learning Operations,Opérations d'apprentissage automatique
Machine learning systems,Systèmes d'apprentissage automatique
Machine listening,Audition informatique
Machine perception,Perception automatique
Machine to machine,Machine à machine
Machine translation,Traduction automatique
Machine Unlearning,Désapprentissage automatique
Machine vision,Visionique
Machine-generated speech,Voix de synthèse
Machine-learned ranking,Apprentissage du classement
MACSYMA,MACSYMA
Magic states,Distillation Magic states
Magic states distillation,Distillation Magic states
Mahalanobis distance,Distance de Mahalanobis
Mahout,Mahout
Mail bombing,Bombardement de courriels
Mailbombing,Bombardement de courriels
Main memory database system,Base de données en mémoire
Majorana fermion,Fermion de Majorana
Malicious code,Programme malveillant
Malicious program,Maliciel
Malicious software,Maliciel
Mallows's Cp,Coefficient Cp de Mallows
Mallows's Cp statistic,Coefficient Cp de Mallows
Malware,Maliciel
Mamba,Mamba
Man-machine communication,Communication homme-machine
Man-machine dialog,Dialogue homme-machine
Management privilege,Privilège d'administration
Management security control,Contrôle de sécurité de gestion
Manhattan metric,Manhattan metric
Manhattan plot,Diagramme de Manhattan
Manifest variable,Variable manifeste
Manifold,Variété
Manifold alignment,Méthode d'alignement de variétés
Manifold assumption,Hypothèse de variété
Manifold Hypothesis,Hypothèse de variété
Manifold learning,Apprentissage de variété
Manifold Tangent Classifier,Classificateur tangentiel entre variétés
Mann Whitney Wilcoxon Test,Test U de Mann-Whitney
Mann-Scheuer-Fertig,Mann-Scheuer-Fertig
Mann-Whitney test,Test de Wilcoxon
Mann-Whitney U Test,Test U de Mann-Whitney
MANOVA,Analyse de la dispersion
Mantel-Haenszel test,Test de Mantel-Haensze
Many-shot jailbreaking,Débridage plusieurs coups
Many-valued logic,Logiques polyvalentes
Map-reduce,Diviser-traiter-regrouper
MapReduce,MapReduce: Diviser-traiter-regrouper
MapReduce: Diviser-traiter-regrouper,MapReduce: Diviser-traiter-regrouper
Margin of error,Marge d'erreur
Marginal distribution,Distribution marginale
Market Basket Analysis,Analyse du panier de marché
Market Mix Modeling,Modélisation du marketing mix
Marketing mix modeling,Modélisation du marketing mix
Markov chain,Chaîne de Markov
Markov Chain Monte Carlo,Méthode de Monte-Carlo par chaînes de Markov
Markov decision process,Processus de décision markovien
Markov inequality,Inégalité de Markov
Markov kernel,Noyau stochastique
Markov process,Processus de Markov
Markov random field,Champs de Markov
Martingale,Martingale
Mash-up,Application composite
Mash-up application,Application composite
Mashup,Application composite
Mashup application,Application composite
Mass measurement,Mesure de masse
Mass measurement datum,Mesure de masse
Massive data,Mégadonnées
Massive dataset,Mégadonnées
Massive online analysis,Analyse massive en ligne
Massively parallel processing,Traitement massivement parallèle
Massively parallel processing database,Base de données à traitement massivement parallèle
Master data management,Gestion des données maîtres
Master sample,Échantillon principal
Master set,Ensemble de référence
Match-resolve-act cycle,Cycle reconnaître-résoudre-agir
Matched pair of subjects,Paire de sujets appariés
Matched pairs design,Plan à paires appariées
Matched sample,Échantillon apparié
Matching,Appariement
Matching distribution,Distribution d'appareillage
Matching problem,Problème de la répartition
Material entity,Entité matérielle
Material information bearer,Porteur d'informations matérielles
Material maintenance,Maintenance matérielle
Material maintenance objective,Objectif de maintenance matérielle
Material processing,Traitement de matériel
Matern function anisotropic covariance structure,Structure anisotropique de covariance de Matern
Mathematica,Mathematica
Mathematical optimization,Optimisation mathématique
MATLAB,MATLAB
Matrix,Matrice
Matrix calculation,Calcul matriciel
Matrix calculus,Calcul matriciel
Matrix's rank,Rang de la Matrice
Mauchly test,Test de sphéricité
Mauchly's sphericity test,Test de sphéricité de Mauchly
Maverick,Donnée aberrante
Max-Pooling,Sous-échantillonnage par valeur maximale
Maxima,MACSYMA
Maximum a posteriori estimation,Estimateur du maximum a posteriori
Maximum likelihood,Maximum de vraisemblance
Maximum mean discrepancy,Discrépance moyenne maximale
Maximum normalized residual test,Test de Grubbs
Maximum value,Valeur maximale
Maxwell distribution,Distribution de Maxwell–Boltzmann
Maxwell-Boltzmann statistics,Statistique de Maxwell-Boltzmann
Maxwell–Boltzmann distribution,Distribution de Maxwell–Boltzmann
Maxwell’s equations,Équations de Maxwell
McCulloch-Pitts neuron,Neurone de McCulloch et Pitts
McDonald-Kreitman test,Test de McDonald-Kreitman
McNemar's test,Test de McNemar
Mean,Moyenne vraie
Mean absolute deviation,Écart moyen
Mean Absolute Error,Erreur quadratique absolue
Mean deviation,Écart moyen
Mean difference,Différence des moyennes
Mean lethal dose,Dose létale médiane
Mean shift,Mean shift
Mean square value,Moyenne quadratique
Mean Squared Error,Erreur quadratique moyenne
Mean values,Valeurs moyennes
Mean-linkage clustering,Regroupement par méthode de lien moyen
Measure,Mesure
Measure function,Fonction de mesure
Measure of central tendency,Mesure de position
Measure of location,Mesure de position
Measure of variation,Mesure de variation
Measurement Based Quantum Computing,Informatique quantique basée sur les mesures
Measurement data item,Donnée de mesure
Measurement error,Erreur d'observation
Measurement error model,Modèle d'erreur dans les variables
Measurement of mass,Mesure de masse
Measurement unit label,Étiquette d'unité de mesure
Measures of central tendency,Mesures de tendance centrale
Meatware,Biogiciel
Mechanism design,Conception de mécanismes d'incitation
Mechatronics,Mécatronique
Medial test,Test de Quenouille
Median,Médiane
Median calculation,Calcul de la médiane
Median effective dose,Dose effective médiane
Median lethal dose,Dose létale médiane
Median unbiased confidence interval,Intervalle de confiance impartial médian
Memetic algorithm,Algorithme mémétique
Memetics,Mémétique
Memoisation,Memoisation
Memoization,Memoisation
Memory dump,Vidage de mémoire
Memory resident database,Base de données en mémoire
Memory-based learning,Apprentissage à base de voisinage
Memtransistor,Neurotransistor
Meronym,Méronyme
Mesokurtosis,Mésocurtique
Meta-algorithm,Méta-algorithme
Meta-analysis,Méta-analyse
Meta-learning,Méta-apprentissage
Metabolic network modelling,Modélisation des réseaux métaboliques
Metabolic networks,Réseaux métaboliques
Metadata,Métadonnée
Metafile,Métafichier
Metaheuristic,Métaheuristique
Metaknowledge,Métaconnaissance
Metamaterials,Métamatériaux photoniques
Metaverse,Métavers
Method of least squares,Méthode des moindres carrés
Method of moments,Méthode des moments
Method of momentum,Méthode d'accélération
Method of steepest descent,Méthode du point col
Metric,Statistique
Metric learning,Apprentissage de similarités
Metrics,Métriques
Metrics API (tf.metrics),API Metrics (tf.metrics)
Metropolis-Hastings algorithm,Algorithme de Metropolis-Hastings
Mexican-hat function,Fonction sombrero
Michaelis constant,Constante de Michaelis
Microdata,Microdonnée
Microsoft Cognitive Toolkit,CNTK
Microtasking,Microtravail
Microworld,Micro-monde
Middleware,Intergiciel
Mini-batch,Mini-lot
Minibatch,Mini-lot
Minimal spanning tree,Arbre de longueur minimale
Minimal sufficient statistics,Statistique exhaustive minimale
Minimal weight spanning tree,Arbre de longueur minimale
Minimax algorithm,Algorithme minimax
Minimax regret principle,Principe du regret minimax
Minimax strategy,Stratégie minimax
Minimum aberrations,Minimum d'aberrations
Minimum chi-squared,Chi-deux minimum
MInimum Norm Quadratic Unbiased Estimation,MINQUE
Minimum redundancy feature selection,Sélection de caractéristiques de redondance minimale
Minimum spanning tree,Arbre de longueur minimale
Minimum value,Valeur minimale
Minimum weight spanning tree,Arbre de longueur minimale
Minimum-maximum chart,Diagramme des sommets et des creux
Minitab,Minitab
Minkowski's inequality,Inégalité de Minkowski
Minkowski–Bouligand dimension,Dimension de Minkowski-Bouligand
Missing value,Valeur manquante
Missing values,Données manquantes
Mistral 7B,Mistral 7B
Misuse detection,Détection d'utilisation malveillante
Mixed distribution,Distribution mixte
Mixed Integer Non Linear programming,Programmation non linéaire à nombres entiers mixtes
Mixed model,Modèle mixte
Mixed sampling,Échantillonnage mixte
Mixed state,État mixte
Mixture distribution,Distribution mixte
Mixture of experts,Mixture d'experts
MKL algorithms,Apprentissage à noyaux multiples
ML sensor,Capteur ML
MLOps,OpérAA
Mlpack,Mlpack
MNIST,MNIST
MNIST database,Base de données MNIST
Mockingbird,Programme caméléon
Modal value,Mode
Modality,Modalité
Mode,Mode
Mode calculation,Calcul du mode
Mode Division Multiplexing,Technique de multiplexage par répartition en modes
Model,Modèle
Model adjustment,Ajustement de modèle
Model checking,Vérification de modèles
Model collapse,Effondrement du modèle
Model fitting,Ajustement de modèle
Model II,Modèle à effets aléatoires
Model matrix,Matrice de conception
Model monitoring,Surveillance des modèles
Model Observability,Observabilité du modèle
Model parameter,Paramètre de modèle
Model parameter estimate,Paramètre estimé du modèle
Model parameter estimation,Estimation des paramètres du modèle
Model Parameters,Paramètre de modèle
Model poisoning,Empoisonnement de modèle
Model quantization,Quantification de modèle
Model tracing,Modèle par traçage du modèle
Model training,Entraînement de modèle
Model-Agnostic Method,Méthode d'interprétation agnostique
Model-Free Reinforcement Learning,Apprentissage par renforcement sans modèle
Model-Free RL,Apprentissage par renforcement sans modèle
Modelisation,Modélisation
Modes,Modes
Modified arithmetic mean,Moyenne ajustée
Modified Latin square,Carré latin modifié
Modified mean,Moyenne ajustée
Modularity of mind,Modularité de l'esprit
Modus ponens,Modus ponens
Modus tollens,Modus tollens
Modèle Dehaene – Changeux,Modèle Dehaene-Changeux
Moment,Moment
Moment coefficient,Moment
Moment generating function,Fonction génératrice
Momentum,Momentum
MongoDB,MongoDB
Monotone constraint,Contrainte monotone
Monotone heuristic,Fonction consistente
Monotone regression,Régression monotone
Monte Carlo method,Méthode de Monte-Carlo
Monte Carlo tree search,Fouille arborescente Monte Carlo
Monthly average,Moyenne mensuelle
Moral graph,Graphique moral
Moran index,Indice de Moran
Moran's,Indice de Moran
Morris Worm,Ver d'Internet
Most general unifier,Unificateur le plus général
Most probable cause analysis,Analyse des causes les plus probables
Most selective confidence intervals,Intervalle de confiance d'étendue minimale
Move generator,Générateur de coups
Moving average,Moyenne mobile
Moving average process,Processus de moyenne mobile
Moving mean,Moyenne mobile
Moving-average model,Processus de moyenne mobile
MPEG-7,MPEG-7
MPP database,Base de données à traitement massivement parallèle
Multi-armed bandit model,Modèles de bandits
Multi-armed bandit problem,Problème du bandit manchot
Multi-binomial test,Test multibinomial
Multi-class classification,Classification à classes multiples
Multi-Dimensional Databases,Base de données multidimensionnelle
Multi-factor authentication,Authentification multifactorielle
Multi-modal distribution,Distribution plurimodale
Multi-output classification,Classification multiétiquettes
Multi-phase sampling,Échantillonnage à plusieurs degrés
Multi-stage sample,Échantillon à plusieurs degrés
Multi-stage sampling,Échantillon à plusieurs degrés
Multi-swarm optimization,Optimisation multiessaim
Multi-task learning,Apprentissage multitâche
Multi-way ANOVA,ANOVA multifactorielle
Multiagent,Multiagent
Multicollinearity,Multicollinéarité
Multicollinearity of the matrix,Multicollinéarité de la matrice
Multicriteria analysis method,Méthode mathématique d'analyse multicritère
Multidimensional cube,Hypercube de données
Multidimensional database,Base de données multidimensionnelle
Multidimensional scaling,Cadrage multidimensionnel
Multifactorial authentication,Authentification multifactorielle
Multihost Based Auditing,Système d'audit de à hôtes multiples
Multilayer perceptron,Perceptron multicouche
Multimodal distribution,Distribution plurimodale
Multimodal large language model,Grand modèle de langues multimodal
Multimodal Machine Learning,Apprentissage automatique multimodal
Multimode,Multimode
Multinomial classification,Classification à classes multiples
Multinomial distribution,Distribution multinomiale
Multinomial logistic regression,Régression logistique multinomiale
Multinomial logistic regression for analysis of dichotomous dependent variable,Régression logistique multinomiale binaire
Multinomial probit model,Régression multinomiale probit
Multinomial probit regression,Régression multinomiale probit
Multinoulli Distribution,Categorical distribution
Multiphase sampling,Échantillonnage à plusieurs degrés
Multiple bar chart,Multiple bar chart
Multiple correlation coefficient,Coefficient de corrélation multiple
Multiple imputation,Imputation multiple
Multiple inheritance,Héritage multiple
Multiple kernel learning,Apprentissage à noyaux multiples
Multiple linear regression,Analyse de régression multiple
Multiple regression,Analyse de régression multiple
Multiple regression analysis,Analyse de régression multiple
Multiple stratification,Stratification multiple
Multiple testing correction method,Méthode de correction de tests multiples
Multiple testing correction objective,Objectif de correction de tests multiples
Multiple-surface chart,Graphique à ceintures
Multiplicative process,Processus de branchement
Multiplicative weight update method,Méthode des poids multiplicatifs
Multiplicity,Multiplicité
Multistage sampling,Échantillon à plusieurs degrés
Multistep quantizer,Quantification vectorielle résiduelle
MultiValue Databases,Bases de données multivaluées
Multivariate adaptive regression splines,Régression multivariée par spline adaptative
Multivariate analysis,Analyse multivariée
Multivariate analysis of variance,Analyse de variance multivariée
Multivariate beta distribution,Distribution bêta multidimensionnelle
Multivariate binomial distribution,Distribution binomiale multidimensionnelle
Multivariate distribution,Distribution à plusieurs variables
Multivariate inverse hypergeometric distribution,Distribution hypergéométrique inverse multidimensionnelle
Multivariate moment,Moment à plusieurs variables
Multivariate negative binomial distribution,Loi multinomiale négative
Multivariate negative hypergeometric distribution,Distribution hypergéométrique inverse multidimensionnelle
Multivariate normal distribution,Distribution normale multidimensionnelle
Multivariate Pareto distribution,Distribution de Pareto multidimensionnelle
Multivariate Pascal distribution,Distribution de Pascal multidimensionnelle
Multivariate Pólya distribution,Distribution de Pólya multidimensionnelle
Multiway ANOVA,ANOVA multifactorielle
Munging,Préparation de données
Murf,Murf
Mutability,Variabilité
Mutation,Mutation
MxNet,MxNet
MYCIN,MYCIN
Métaverse,Métavers
Méthode T,Test HDS de Tukey
N of one trial,N-dans-Un
N-armed bandit problem,Modèles de bandits
N-gram,N-gramme
N-sphere,Hypersphère
Nagle algorithm,Algorithme de Nagle
Naive Bayes classifier,Classification naïve bayésienne
Naive semantics,Sémantique naïve
NAK Attack,Attaque NAK
Name binding,Liaison de nom
Name correlation,Corrélation de noms
Named graph,Graphe nommé
Named-entity recognition,Reconnaissance d'entités nommées
NaN trap,Piège NaN
Nanobeam resonator,Résonateur à nanofaisceau
Nanophotonics,Nanophotonique
Narrow AI,Intelligence artificielle faible
Narrow artificial intelligence,Intelligence artificielle faible
National Information Infrastructure,Infrastructure nationale d'information
Natural language,Langage naturel
Natural language comprehension,Compréhension du langage naturel
Natural language generation,Génération automatique de textes
Natural Language Processing,Traitement automatique de la langue naturelle
Natural language text generation,Génération automatique de textes
Natural language understanding,Compréhension du langage naturel
Natural referencing,Référencement naturel
Natural search,Référencement naturel
Natural-language programming,Programmation en langue naturelle
Navigation mesh,Mesh de navigation
NCSC,NCSC
Near miss,Presque exemple
Near-miss,Presque exemple
Near-miss example,Presque exemple
Negation as failure,Négation par l'échec
Negation by failure,Négation par l'échec
Negative binomial distribution,Loi binomiale négative
Negative class,Classe négative
Negative correlation,Corrélation négative
Negative factorial multinomial distribution,Distribution hypergéométrique inverse multidimensionnelle
Negative multinomial distribution,Loi multinomiale négative
Negative variational free energy,Borne inférieure variationnelle
Neighborhood,Voisinage
Nelder-Mead method,Méthode de Nelder-Mead
Nelson-Aalen estimator,Estimateur de Nelson-Aalen
Nested case-control study,Étude cas-témoins emboîtés
Nested hypotheses,Hypothèses emboîtées
Net correlation,Corrélation partielle
Network address translation,NAT
Network edge analytics,Analytique en périphérie de réseau
Network Level Firewall,Pare-feu réseau
Network motif,Motif de réseau
Network of samples,Réseau d'échantillons
Network Security,Sécurité réseau
Network Security Officer,Chargé de la sécurité des réseaux
Network security zone,Zone de sécurité de réseau
Network Weaving,Réseautage illicite
Neural connection,Connexion synaptique
Neural embedding,Vecteur sémantique compact
Neural gas,Gaz neuronal
Neural language model,Modèle de langue neuronal
Neural layer,Couche
Neural link,Connexion synaptique
Neural Machine Translation,Traduction automatique neuronale
Neural modulator,Neuromodulateur
Neural net,Réseau de neurones artificiels
Neural network,Réseaux neuronaux
Neural network regularization,Régularisation dans les Réseaux de Neurones
Neural radiance field,Champ de rayonnement neuronal
Neural Turing Machine,Machine de Turing neuronale
Neuro-fuzzy,Neuro-flou
Neuro-modulator,Neuromodulateur
Neurocybernetics,Neurocybernetique
Neuromodulator,Neuromodulateur
Neuromorphic,Neuromorphique
Neuromorphic chip,Puce neuromorphique
Neuromorphic computing,Ingénierie neuromorphique
Neuromorphic engineering,Ingénierie neuromorphique
Neuron,Neurone
Neuron layer,Couche de neurones
Neuron network,Réseau de neurones artificiels
Neuronal network,Réseau de neurones artificiels
Neurone layer,Couche
Neurone à base radiale,Réseaux neuronaux à base radiale
Neuroscience systems,Systèmes neuroscience
Neurosciences,Neurosciences
Neurosymbolic AI,Intelligence artificielle neuro-symbolique
Neurosymbolic artificial intelligence,Intelligence artificielle neuro-symbolique
Neurotransistor,Neurotransistor
Newman-Keuls test post-hoc analysis,Test post-hoc de Newman-Keuls
NewSQL,NewSQL
Newsvendor Inventory Problem,Problème du vendeur de journaux
Newton's method,Méthode de Newton
Newton-Raphson method,Méthode de Newton
Neyman model,Modèle de Neyman
Neyman-Pearson lemma,Lemme de Neyman-Pearson
Neyman–Rubin causal model,Modèle de Neyman
NFL theorem,Théorème No Free Lunch
NISQ,NISQ
No diagonal Factor Analytic covariance structure,Structure de covariance analytique factorielle sans diagonale
No Free Lunch theorem,Théorème No Free Lunch
No-cloning theorem,Non-clonage quantique
No-code machine learning,Apprentissage automatique automatisé
Node,Nœud
Noir,Noir
Noise,Bruit
Noise-contrastive estimation,Estimation contrastive bruitée
Noisy Intermediate-Scale Quantum,NISQ
Nominal variable,Variable nominale
Nomogram,Nomogramme
Nomograph,Nomogramme
Non random sampling,Échantillonnage non aléatoire
Non-central beta distribution,Distribution non centrale de bêta
Non-central chi-square distribution,Distribution du chi-deux non centrale
Non-central confidence interval,Intervalle de confiance non centré
Non-central F-distribution,Distribution non centrale de F
Non-central multivariate F-distribution,Distribution non centrale de F à plusieurs variables
Non-central t-distribution,Distribution non centrale de t
Non-central Wishart distribution,Distribution non centrale de Wishart
Non-central χ² distribution,Distribution du chi-deux non centrale
Non-centrality parameter,Paramètre de non-centralité
Non-chronological backtracking,Retour sur trace non chronologique
Non-Discretionnary Security,Sécurité non discrétionnaire
Non-experimental study,Étude observationnelle
Non-linear filter,Filtre non linéaire
Non-linear regression,Régression non linéaire
Non-negative matrix approximation,Factorisation matricielle non négative
Non-negative matrix factorization,Factorisation matricielle non négative
Non-null hypothesis,Hypothèse alternative
Non-parametric,Non paramétrique
Non-parametric distribution,Distribution non paramétrique
Non-parametric maximum likelihood,Maximum de vraisemblance non-paramétrique
Non-Parametric Model,Modèle non paramétrique
Non-parametric test,Test non paramétrique
Non-probabilistic sampling,Échantillonnage non aléatoire
Non-probability sampling,Échantillonnage non aléatoire
Non-random sampling,Échantillonnage non aléatoire
Non-Repudiation,Non-répudiation
Non-response,Défaut de réponse
Non-sampling error,Erreur autre que d'échantillonnage
Noncentral beta distribution,Distribution non centrale de bêta
Noncentral chi-squared distribution,Distribution du chi-deux non centrale
Noncentral F-distribution,Distribution non centrale de F
Noncentral t-distribution,Distribution non centrale de t
Nondeterministic algorithm,Algorithme non-déterministe
Nonlinear correlation,Corrélation curviligne
Nonlinear dimensionality reduction,Réduction de dimensionnalité non linéaire
Nonlinear Filter,Filtre non linéaire
Nonlinear model,Régression non linéaire
Nonlinear optics,Optique non linéaire
Nonlinear planning,Planification non linéaire
Nonlinear programming,Optimisation non linéaire
Nonlinear regression,Régression non linéaire
Nonparametric,Non paramétrique
Nonprobabilistic sample selection,Échantillonnage non aléatoire
Nonprobabilistic sampling,Échantillonnage non aléatoire
Nonrepudiation,Non-répudiation
Nonsense correlation,Corrélation illusoire
Nonstop computer,Système à tolérance de pannes
Normal curve,Courbe normale
Normal distribution,Loi normale
Normal distribution curve,Courbe normale
Normal distribution hypothesis,Hypothèse de normalité de la distribution
Normal Mixture Distribution,Distribution mixte
NORmal To Anything method,NORmal To Anything
Normalisation layer,Couche de normalisation
Normality test,Test de normalité
Normalization,Normalisation
Normalization layer,Couche de normalisation
Normalized data set,Ensemble de données normalisées
Normalized Latin square,Carré latin standard
NORMIX,Distribution mixte
NORTA method,NORmal To Anything
NoSQL,NoSQL
Nouvelle AI,Nouvelle AI
Nouvelle artificial intelligence,Nouvelle AI
Novelty Detection,Détection de nouveauté
NP (complexity),NP (complexité)
NP-completeness,NP-complétude
NP-hardness,NP-difficile
Nuisance parameter,Paramètre de nuisance
Null Accuracy,Précision au zéro
Null hypothesis,Hypothèse nulle
Null matrix,Matrice nulle
Number of degrees of freedom,Nombre de degrés de liberté
Numerical data,Données numériques
Numerical taxonomy,Taxonomie numérique
Numpy,Numpy
Nyquist frequency,Fréquence de Nyquist
O-band,Bande O
Object class detection,Détection de classe d'objets
Object database,Base de données orientée objet
Object detection,Détection d'objet
Object oriented programming,Programmation orientée objet
Object Recognition,Reconnaissance d'objets
Object-oriented database,Base de données orientée objet
Objective,Objectif
Objective function,Fonction de coût
Objective specification,Spécification d'objectif
Observable,Observable
Observable variable,Variable observable
Observation error,Erreur d'observation
Observational error,Erreur d'observation
Observational study,Étude observationnelle
Obsolete nodes,Nœud obsolète
OC curve,Courbe d'efficacité
Occam learning,Apprentissage d'Occam
Occam's razor,Rasoir d'Occam
Octile,Octile
ODBC,ODBC
ODCA,Open Data Center Alliance
Odds,Cote
Odds Ratio,Rapport des chances
Odds ratio homogeneity hypothesis,Hypothèse d'homogénéité des odds ratio
Odds ratio homogeneity test,Test de l'homogénéité du rapport des chances
Odometry,Odométrie
Off-line processing,Traitement par lots
Off-premises software,Logiciel-service
Offline inference,Inférence hors ligne
Offline learning,Apprentissage hors ligne
Offline Reinforcement Learning,Apprentissage par renforcement hors-ligne
Offline storage,Stockage à froid
Ogive,Ogive de Galton
OLE database,Base de données OLE
OLE DB,Base de données OLE
Omega square test,Test de Cramér-Von Mises
Omega squared,Oméga carré
Omega-squared,Oméga carré
Omission error,Erreur d'omission
Onboard intelligence,Intelligence embarquée
One dimensional cartesian coordinate system,Système de coordonnées cartésiennes unidimensionnel
One dimensional cartesian spatial coordinate datum,Donnée de coordonnées spatiales cartésiennes unidimensionnelles
One dimensional cartesian spatial coordinate origin,Origine de coordonnées spatiales cartésiennes unidimensionnelles
One dimensional region,Région unidimensionnelle
One sample Hotelling T2 test,T2 de Hotteling pour un échantillon
One sample t-test,Test du t de Student sur un échantillon
One-hot encoding,Encodage à chaud
One-hot-encoder,Encodage à chaud
One-shot learning,Apprentissage d'un coup
One-sided test,Test unilatéral
One-tailed test,Test unilatéral
One-vs.-all,Un contre tous
One-way ANOVA,ANOVA à un facteur
One-way ANOVA on ranks,Test de Kruskal-Wallis
One-way quantum computer,Informatique quantique basée sur les mesures
One-way table,Tableau à simple entrée
OneHot Encoding,Encodage à chaud
Online inference,Inférence en ligne
Online learning,Apprentissage au fur et à mesure
Online training,Apprentissage au fur et à mesure
Ontology,Ontologie
Ontology engineering,Ingénierie des ontologies
Ontology language,Langage d'ontologie
Ontology learning,Apprentissage d'ontologie
Oozie,Apache Oozie
Open Data Center Alliance,Open Data Center Alliance
Open Database Connectivity,ODBC
Open end question,Question ouverte
Open ended question,Question ouverte
Open innovation,Innovation ouverte
Open Mind Common Sense,Open Mind Common Sense
Open Neural Network Exchange,Open Neural Network Exchange
Open question,Question ouverte
Open Systems Interconnection,Interconnexion de systèmes ouverts
Open world assumption,Hypothèse du monde ouvert
Open-ended question,Question ouverte
Open-security environment,Environnement partiellement sécurisé
Open-source software,Logiciel libre
OpenAI,OpenAI
OpenCog,OpenCog
OpenDremel,OpenDremel
Opened-end question,Question ouverte
OpenNN,OpenNN
OpenQM,OpenQM
Operant conditioning,Conditionnement opérant
Operating characteristic curve,Courbe d'efficacité
Operational Security,Sécurité opérationnelle
Operational security control,Contrôle de sécurité opérationnel
Operationalise,Opérationnaliser
Operationalize,Opérationnaliser
Operations Security,Sécurité de l'exploitation
Operator,Opérateur
Operator of critical national infrastructures,Opérateur d'importance vitale
Opinion mining,Analyse des sentiments
Opinion poll,Enquête d'opinion
Opinion survey,Enquête d'opinion
Optical amplifier,Amplificateur optique
Optical character recognition,Reconnaissance optique de caractères
Optical computing,Ordinateur optique
Optical fiber,Fibre optique
Optical fibers,Fibres optiques
Optical filter,Filtre optique
Optical isolator,Isolateur optique
Optical logic gate,Porte logique optique
Optical MEMS,Systèmes microélectromécaniques optiques
Optical micro-electro-mechanical systems,Systèmes microélectromécaniques optiques
Optical modulator,Modulateur optique
Optical molasses,Mélasse optique
Optical multiplexers,Multiplexeur optique
Optical Multiplexing,Multiplexage optique
Optical nanoantennas,Nanoantennes optiques
Optical neural networks,Réseaux neuronaux optiques
Optical phased array,Réseau optique à commande de phase
Optical power,Puissance optique
Optical power meter,Wattmètre optique
Optical pumping,Pompage optique
Optical quantum computing,Ordinateur quantique (Photonique)
Optical recognition,Reconnaissance optique de caractères
Optical resonator,Résonateur optique
Optical signal to noise ratio,Rapport signal sur bruit optique
Optical transceiver,Émetteur-récepteur optique
OPTICS algorithm,Algorithme OPTICS
Optimisation algorithm,Algorithme d'optimisation
Optimization,Optimisation
Optimization criterion,Critère d'optimisation
Optimizer,Optimiseur
Optimum allocation,Allocation optimum
Optoelectronics,Optoélectronique
Opération,Opération
Opérations d'apprentissage automatique,OpérAA
Orca,Orca
Order statistic,Statistique d'ordre
Order statistics,Statistique d'ordre
Ordered categorical variable,Variable catégorielle ordonnée
Ordered Pair,Couple
Ordered probit regression for analysis of ordinal dependent variable,Régression ordonnée probit
Ordered search,Recherche heuristique
Ordered series,Ordination
Ordinal classification,Classification ordinale
Ordinal regression,Classification ordinale
Ordinal scale,Échelle ordinale
Ordinal Variable,Variable ordinale
Ordinary discontinuity,Discontinuité à saut fini
Ordinary Least Squares,Méthode des moindres carrés ordinaires
Ordinary least squares estimation,Estimation des moindres carrés ordinaires
Ordinary least squares method,Méthode des moindres carrés ordinaires
Ordinate axis,Axe des ordonnées
Organic correlation,Corrélation organique
Original score,Note brute
Ornstein-Uhlenbeck process,Processus de Ornstein-Uhlenbeck
Orthogonal array,Table orthogonale
Orthogonal functions,Fonctions orthogonales
Orthogonal matching pursuit,Poursuite adaptative orthogonale
Orthogonal polynomials,Polynômes orthogonaux
Orthogonal projection,Projection orthogonale
Orthogonal regression,Régression orthogonale
Orthogonal rotation,Régression orthogonale
Orthogonal square,Carré orthogonal
Oslo algorithm,Algorithme d'Oslo
